index;Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes  CCS e SCR;Quantidade de clientes  CCS;Quantidade de clientes  SCR;Unnamed: 14
94;2020;4º;Grupo Secundário;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;1;2;1;4;408700;1006;407697;
95;2020;4º;Grupo Secundário;Conglomerado; ;VOLKSWAGEN (conglomerado); ;11;12;33;56;385252;1272;384278;
96;2020;4º;Grupo Secundário;Conglomerado; ;VOLVO (conglomerado); ;1;0;1;2;7736;87;7727;
97;2020;4º;Top 10;Conglomerado; ;VOTORANTIM (conglomerado);4,42;58;290;313;661;13112975;9547100;4415130;
98;2020;4º;Grupo Secundário;Conglomerado; ;WESTERN UNION (conglomerado); ;5;3;9;17;1;1; ;
99;2020;4º;Grupo Secundário;Banco/financeira;23862762;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;8;4;1;13;1419721;1418079;234488;
100;2020;4º;Grupo Secundário;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;7;0;8;15;194991;50;194948;
0;2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado); ;2;3;4;9;26230;24698;3810;
1;2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);54,79;58;140;73;271;1058431;790848;693843;
2;2021;1º;Grupo Secundário;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;3;0;6;420692;129;420563;
3;2021;1º;Grupo Secundário;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;0;2;12645;4979;10112;
4;2021;1º;Grupo Secundário;Conglomerado; ;ALFA (conglomerado); ;14;44;15;73;412135;268186;145105;
5;2021;1º;Grupo Secundário;Conglomerado; ;ANDBANK (conglomerado); ;0;2;1;3;4383;4382;52;
6;2021;1º;Grupo Secundário;Banco/financeira;03532415;BANCO ABN AMRO S.A.; ;0;0;3;3;98;71;31;
7;2021;1º;Grupo Secundário;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;0;0;1;18087;9312;8838;
8;2021;1º;Grupo Secundário;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;1;2;3;28352;1238;27399;
9;2021;1º;Grupo Secundário;Banco/financeira;08357240;BANCO CSF S.A.;22,53;165;94;51;310;7322283; ;7322283;
10;2021;1º;Grupo Secundário;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;4;1;7;12;540684;459756;194221;
