ano,trimestre,categoria,tipo,cnpj_if,instituicao_financeira,indice,quantidade_de_reclamacoes_reguladas_procedentes,quantidade_de_reclamacoes_reguladas_outras,quantidade_de_reclamacoes_nao_reguladas,quantidade_total_de_reclamacoes,quantidade_total_de_clientes_ccs_e_scr,quantidade_de_clientes_ccs,quantidade_de_clientes_scr
2021,4º,"demais bancos, financeiras e instituições de pagamento",banco/financeira,01722480,verde - administradora de cartoes de credito s.a.,,2,7,2,11,435518,0,435518
2021,4º,"demais bancos, financeiras e instituições de pagamento",banco/financeira,05192316,"via certa financiadora s.a. - crédito, financiamento e investimentos",,4,4,1,9,416742,2167,415345
2021,4º,"demais bancos, financeiras e instituições de pagamento",conglomerado, ,volkswagen (conglomerado),,13,50,38,101,344355,869,343647
2021,4º,"demais bancos, financeiras e instituições de pagamento",conglomerado, ,volvo (conglomerado),,0,1,2,3,7449,49,7440
2021,4º,"top 15 - bancos, financeiras e instituições de pagamento",conglomerado, ,votorantim (conglomerado),9.33,188,147,177,512,20145553,16986862,5287210
2021,4º,"demais bancos, financeiras e instituições de pagamento",conglomerado, ,western union (conglomerado),,1,2,3,6,1,1,0
2021,4º,"demais bancos, financeiras e instituições de pagamento",banco/financeira,23862762,"will financeira s.a. crédito, financiamento e investimento",19.87,41,31,22,94,2062720,2062055,440454
2021,4º,"demais bancos, financeiras e instituições de pagamento",conglomerado, ,xp (conglomerado),184.34,70,13,7,90,379732,376638,284044
2021,4º,"demais bancos, financeiras e instituições de pagamento",conglomerado, ,yamaha motor (conglomerado),,0,9,14,23,213549,115,213456
2021,3º,demais bancos e financeiras,conglomerado, ,abc-brasil (conglomerado),,1,2,1,4,29707,28217,4009
2021,3º,demais bancos e financeiras,conglomerado, ,agibank (conglomerado),82.54,109,296,107,512,1320447,999951,873341
2021,3º,demais bancos e financeiras,banco/financeira,36321990,"agoracred s/a sociedade de crédito, financiamento e investimento",,3,1,2,6,453405,130,453275
2021,3º,demais bancos e financeiras,banco/financeira,27214112,"al5 s.a. crédito, financiamento e investimento",,4,0,6,10,18217,9981,11683
2021,3º,demais bancos e financeiras,conglomerado, ,alfa (conglomerado),,13,61,11,85,420486,268221,153423
2021,3º,demais bancos e financeiras,conglomerado, ,andbank (conglomerado),,0,3,3,6,4369,4369,48
2021,3º,demais bancos e financeiras,banco/financeira,03532415,banco abn amro s.a.,,0,0,1,1,41,41,1
2021,3º,demais bancos e financeiras,banco/financeira,54403563,banco arbi s.a.,,1,9,1,11,28673,20319,8520
2021,3º,demais bancos e financeiras,banco/financeira,33132044,banco cedula s.a.,,0,1,0,1,18022,2815,15434
2021,3º,demais bancos e financeiras,banco/financeira,02992446,banco cnh industrial capital s.a.,,0,0,1,1,28309,1234,27347
2021,3º,demais bancos e financeiras,banco/financeira,08357240,banco csf s.a.,14.94,111,89,59,259,7425297,0,7425297
2021,3º,demais bancos e financeiras,banco/financeira,04902979,banco da amazonia s.a.,,2,4,8,14,551874,473802,194373
2021,3º,demais bancos e financeiras,banco/financeira,10690848,banco da china brasil s.a.,,1,0,0,1,481,457,39
2021,3º,demais bancos e financeiras,banco/financeira,33042151,banco de la nacion argentina,,0,1,0,1,256,244,21
2021,3º,demais bancos e financeiras,banco/financeira,92874270,banco digimais s.a.,258.94,102,28,34,164,393906,266246,192853
2021,3º,demais bancos e financeiras,banco/financeira,27098060,banco digio s.a.,31.05,58,108,71,237,1867547,1096662,1553737
2021,3º,demais bancos e financeiras,banco/financeira,13009717,banco do estado de sergipe s.a.,,10,23,17,50,1082245,831407,621508
2021,3º,demais bancos e financeiras,banco/financeira,04913711,banco do estado do pará s.a.,42.87,39,23,23,85,909670,786497,405982
